"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","PRCP","TAVG","TMAX","TMIN","TOBS"
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-15",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-16",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-17",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-18",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-19",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-20",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-21",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-22",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-23",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-24",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-25",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-26",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-27",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-28",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-29",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-30",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-08-31",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-09-01",,"0.00",,,,
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","2008-09-02",,"0.00",,,,
